time,theta1,theta2,theta3,d4
0.0,-0.7853981633974483,1.0471975511965979,-2.8634050400351705,0.14
0.025252525252525252,-0.7850337470108933,1.0471975511965979,-2.8629155390884478,0.14
0.050505050505050504,-0.783948830398211,1.0471975511965979,-2.861456249724423,0.14
0.07575757575757576,-0.7821559123798743,1.0471975511965979,-2.8590409921573126,0.14
0.10101010101010101,-0.7796674917763565,1.0471975511965979,-2.855683586601333,0.14
0.12626262626262627,-0.7764960674081312,1.0471975511965979,-2.8513978532706994,0.14
0.15151515151515152,-0.7726541380956716,1.0471975511965979,-2.846197612379628,0.14
0.17676767676767677,-0.768154202659451,1.0471975511965979,-2.8400966841423356,0.14
0.20202020202020202,-0.7630087599199425,1.0471975511965979,-2.833108888773038,0.14
0.22727272727272727,-0.7572303086976199,1.0471975511965979,-2.8252480464859513,0.14
0.25252525252525254,-0.7508313478129561,1.0471975511965979,-2.8165279774952907,0.14
0.2777777777777778,-0.7438243760864246,1.0471975511965979,-2.8069625020152733,0.14
0.30303030303030304,-0.7362218923384987,1.0471975511965979,-2.7965654402601148,0.14
0.3282828282828283,-0.7280363953896517,1.0471975511965979,-2.7853506124440317,0.14
0.35353535353535354,-0.7192803840603569,1.0471975511965979,-2.773331838781239,0.14
0.3787878787878788,-0.7099663571710876,1.0471975511965979,-2.760522939485954,0.14
0.40404040404040403,-0.700106813542317,1.0471975511965979,-2.7469377347723913,0.14
0.4292929292929293,-0.6897142519945186,1.0471975511965979,-2.732590044854769,0.14
0.45454545454545453,-0.6788011713481658,1.0471975511965979,-2.7174936899473012,0.14
0.4797979797979798,-0.6673800704237316,1.0471975511965979,-2.701662490264205,0.14
0.5050505050505051,-0.6554634480416894,1.0471975511965979,-2.685110266019696,0.14
0.5303030303030303,-0.6430638030225128,1.0471975511965979,-2.667850837427991,0.14
0.5555555555555556,-0.6301936341866747,1.0471975511965979,-2.6498980247033055,0.14
0.5808080808080808,-0.616865440354649,1.0471975511965979,-2.6312656480598555,0.14
0.6060606060606061,-0.6030917203469083,1.0471975511965979,-2.6119675277118573,0.14
0.6313131313131313,-0.5888849729839264,1.0471975511965979,-2.5920174838735264,0.14
0.6565656565656566,-0.5742576970861765,1.0471975511965979,-2.57142933675908,0.14
0.6818181818181818,-0.5592223914741319,1.0471975511965979,-2.550216906582733,0.14
0.7070707070707071,-0.5437915549682658,1.0471975511965979,-2.528394013558702,0.14
0.7323232323232323,-0.5279776863890516,1.0471975511965979,-2.5059744779012036,0.14
0.7575757575757576,-0.5117932845569628,1.0471975511965979,-2.4829721198244528,0.14
0.7828282828282828,-0.49525084829247246,1.0471975511965979,-2.4594007595426666,0.14
0.8080808080808081,-0.4783628764160539,1.0471975511965979,-2.4352742172700603,0.14
0.8333333333333334,-0.46114186774818056,1.0471975511965979,-2.4106063132208506,0.14
0.8585858585858586,-0.4436003211093258,1.0471975511965979,-2.385410867609253,0.14
0.8838383838383839,-0.42575073531996277,1.0471975511965979,-2.359701700649484,0.14
0.9090909090909091,-0.4076056092005648,1.0471975511965979,-2.3334926325557594,0.14
0.9343434343434344,-0.3891774415716053,1.0471975511965979,-2.3067974835422955,0.14
0.9595959595959596,-0.37047873125355757,1.0471975511965979,-2.279630073823308,0.14
0.9848484848484849,-0.351521977066895,1.0471975511965979,-2.252004223613014,0.14
1.0101010101010102,-0.3323196778320905,1.0471975511965979,-2.2239337531256274,0.14
1.0353535353535352,-0.3128843323696181,1.0471975511965979,-2.1954324825753666,0.14
1.0606060606060606,-0.2932284394999505,1.0471975511965979,-2.1665142321764463,0.14
1.0858585858585859,-0.2733644980435611,1.0471975511965979,-2.137192822143083,0.14
1.1111111111111112,-0.2533050068209234,1.0471975511965979,-2.107482072689493,0.14
1.1363636363636362,-0.2330624646525109,1.0471975511965979,-2.0773958040298925,0.14
1.1616161616161615,-0.21264937035879639,1.0471975511965979,-2.0469478363784965,0.14
1.1868686868686869,-0.19207822276025352,1.0471975511965979,-2.016151989949522,0.14
1.2121212121212122,-0.1713615206773554,1.0471975511965979,-1.9850220849571847,0.14
1.2373737373737375,-0.15051176293057564,1.0471975511965979,-1.9535719416157007,0.14
1.2626262626262625,-0.1295414483403875,1.0471975511965979,-1.9218153801392863,0.14
1.2878787878787878,-0.10846307572726405,1.0471975511965979,-1.8897662207421573,0.14
1.3131313131313131,-0.0872891439116788,1.0471975511965979,-1.85743828363853,0.14
1.3383838383838385,-0.06603215171410487,1.0471975511965979,-1.8248453890426202,0.14
1.3636363636363635,-0.04470459795501602,1.0471975511965979,-1.7920013571686442,0.14
1.3888888888888888,-0.0233189814548852,1.0471975511965979,-1.7589200082308178,0.14
1.4141414141414141,-0.001887801034185621,1.0471975511965979,-1.7256151624433573,0.14
1.4393939393939394,0.01957644448660939,1.0471975511965979,-1.6921006400204788,0.14
1.4646464646464645,0.041061256287026004,1.0471975511965979,-1.6583902611763985,0.14
1.4898989898989898,0.06255413554659123,1.0471975511965979,-1.624497846125332,0.14
1.5151515151515151,0.08404258344483212,1.0471975511965979,-1.5904372150814954,0.14
1.5404040404040404,0.10551410116127496,1.0471975511965979,-1.5562221882591052,0.14
1.5656565656565655,0.12695618987544638,1.0471975511965979,-1.5218665858723774,0.14
1.5909090909090908,0.14835635076687337,1.0471975511965979,-1.4873842281355274,0.14
1.6161616161616161,0.16970208501508222,1.0471975511965979,-1.452788935262772,0.14
1.6414141414141414,0.19098089379960004,1.0471975511965979,-1.4180945274683272,0.14
1.6666666666666667,0.21218027829995312,1.0471975511965979,-1.3833148249664085,0.14
1.6919191919191918,0.23328773969566807,1.0471975511965979,-1.348463647971233,0.14
1.7171717171717171,0.2542907791662724,1.0471975511965979,-1.3135548166970161,0.14
1.7424242424242424,0.27517689789129207,1.0471975511965979,-1.278602151357973,0.14
1.7676767676767677,0.2959335970502537,1.0471975511965979,-1.2436194721683216,0.14
1.7929292929292928,0.3165483778226843,1.0471975511965979,-1.2086205993422765,0.14
1.8181818181818181,0.33700874138811066,1.0471975511965979,-1.1736193530940549,0.14
1.8434343434343434,0.35730218892605914,1.0471975511965979,-1.1386295536378717,0.14
1.8686868686868687,0.3774162216160567,1.0471975511965979,-1.1036650211879433,0.14
1.8939393939393938,0.3973383406376293,1.0471975511965979,-1.0687395759584866,0.14
1.9191919191919191,0.417056047170305,1.0471975511965979,-1.0338670381637167,0.14
1.9444444444444444,0.43655684239360926,1.0471975511965979,-0.9990612280178506,0.14
1.9696969696969697,0.45582822748706886,1.0471975511965979,-0.9643359657351032,0.14
1.9949494949494948,0.4748577036302115,1.0471975511965979,-0.9297050715296913,0.14
2.0202020202020203,0.49363277200256306,1.0471975511965979,-0.8951823656158304,0.14
2.0454545454545454,0.51214093378365,1.0471975511965979,-0.8607816682077376,0.14
2.0707070707070705,0.5303696901529993,1.0471975511965979,-0.8265167995196288,0.14
2.095959595959596,0.5483065422901379,1.0471975511965979,-0.7924015797657187,0.14
2.121212121212121,0.5659389913745922,1.0471975511965979,-0.7584498291602251,0.14
2.1464646464646466,0.5832545385858894,1.0471975511965979,-0.7246753679173621,0.14
2.1717171717171717,0.6002406851035553,1.0471975511965979,-0.6910920162513481,0.14
2.196969696969697,0.6168849321071168,1.0471975511965979,-0.6577135943763974,0.14
2.2222222222222223,0.6331747807761021,1.0471975511965979,-0.6245539225067265,0.14
2.2474747474747474,0.6490977322900351,1.0471975511965979,-0.5916268208565518,0.14
2.2727272727272725,0.6646412878284442,1.0471975511965979,-0.5589461096400901,0.14
2.297979797979798,0.6797929485708569,1.0471975511965979,-0.5265256090715555,0.14
2.323232323232323,0.6945402156967981,1.0471975511965979,-0.4943791393651651,0.14
2.3484848484848486,0.7088705903857953,1.0471975511965979,-0.46252052073513505,0.14
2.3737373737373737,0.722771573817375,1.0471975511965979,-0.43096357339568225,0.14
2.398989898989899,0.7362306671710643,1.0471975511965979,-0.3997221175610213,0.14
2.4242424242424243,0.74923537162639,1.0471975511965979,-0.3688099734453685,0.14
2.4494949494949494,0.7617731883628778,1.0471975511965979,-0.33824096126294023,0.14
2.474747474747475,0.7738316185600553,1.0471975511965979,-0.30802890122795246,0.14
2.5,0.7853981633974483,1.0471975511965979,-0.2781876135546226,0.14
2.525252525252525,0.7964633952459823,1.0471730838293505,-0.24872944569205435,0.1400020406081012
2.5505050505050506,0.8070301712421735,1.0470996817276088,-0.21966085402891178,0.14000816243240485
2.5757575757575757,0.8171044197139355,1.0469773448913728,-0.1909868221887483,0.14001836547291094
2.6010101010101008,0.8266920689891829,1.0468060733206421,-0.1627123337951173,0.14003264972961943
2.6262626262626263,0.8357990473958301,1.0465858670154173,-0.13484237247157105,0.14005101520253035
2.6515151515151514,0.8444312832617906,1.0463167259756978,-0.10738192184166362,0.1400734618916437
2.676767676767677,0.8525947049149794,1.0459986502014842,-0.08033596552894728,0.14009998979695948
2.702020202020202,0.86029524068331,1.0456316396927758,-0.0537094871569761,0.1401305989184777
2.727272727272727,0.8675388188946969,1.0452156944495732,-0.02750747034930301,0.14016528925619834
2.7525252525252526,0.8743313678770543,1.044750814471876,-0.0017348987294805163,0.1402040608101214
2.7777777777777777,0.8806788159582962,1.0442369997596845,0.023603244078937546,0.1402469135802469
2.8030303030303028,0.8865870914663372,1.0436742503129985,0.04850197445239868,0.14029384756657484
2.8282828282828283,0.8920621227290909,1.043062566131818,0.07295630876734949,0.14034486276910518
2.8535353535353534,0.8971098380744721,1.0424019472161432,0.09696126340023636,0.14039995918783796
2.878787878787879,0.9017361658303945,1.0416923935659739,0.12051185472750725,0.1404591368227732
2.904040404040404,0.9059470343247725,1.0409339051813102,0.14360309912560765,0.1405223956739108
2.929292929292929,0.9097483718855203,1.040126482062152,0.16623001297098527,0.1405897357412509
2.9545454545454546,0.9131461068405521,1.0392701242084996,0.18838761264008697,0.1406611570247934
2.9797979797979797,0.9161461675177821,1.0383648316203524,0.2100709145093591,0.1407366595245383
3.005050505050505,0.9187544822451243,1.0374106042977111,0.23127493495524942,0.14081624324048567
3.0303030303030303,0.920976979350493,1.0364074422405751,0.25199469035420385,0.14089990817263545
3.0555555555555554,0.9228195871618026,1.0353553454489448,0.27222519708266946,0.14098765432098767
3.080808080808081,0.924288234006967,1.0342543139228202,0.29196147151709395,0.14107948168554227
3.106060606060606,0.9253888482139006,1.0331043476622008,0.31119853003392284,0.14117539026629936
3.131313131313131,0.926127358110517,1.0319054466670872,0.32993138900960384,0.14127538006325885
3.1565656565656566,0.9265096920247314,1.0306576109374792,0.34815506482058445,0.14137945107642075
3.1818181818181817,0.9265417782844573,1.0293608404733767,0.36586457384331017,0.14148760330578514
3.207070707070707,0.9262295452176091,1.0280151352747797,0.3830549324542285,0.1415998367513519
3.2323232323232323,0.925578921152101,1.0266204953416884,0.39972115702978606,0.1417161514131211
3.2575757575757573,0.9245958344158468,1.0251769206741026,0.4158582639464299,0.14183654729109274
3.282828282828283,0.9232862133367613,1.0236844112720225,0.4314612695806068,0.1419610243852668
3.308080808080808,0.9216559862427584,1.0221429671354478,0.44652519030876414,0.14208958269564329
3.3333333333333335,0.9197110814617523,1.0205525882643787,0.4610450425073487,0.14222222222222222
3.3585858585858586,0.917457427321657,1.0189132746588152,0.47501584255280616,0.14235894296500357
3.3838383838383836,0.9149009521503868,1.0172250263187572,0.4884326068215845,0.14249974492398734
3.409090909090909,0.9120475842758562,1.015487843244205,0.5012903516901304,0.14264462809917355
3.4343434343434343,0.9089032520259791,1.013701725435158,0.5135840935348899,0.1427935924905622
3.4595959595959593,0.9054738837286697,1.0118666728916168,0.5253088487323114,0.14294663809815322
3.484848484848485,0.901765407711842,1.009982685613581,0.5364596336588408,0.14310376492194674
3.51010101010101,0.8977837523034107,1.008049763601051,0.5470314646909245,0.14326497296194268
3.5353535353535355,0.8935348458312896,1.0060679068540264,0.5570193582050109,0.143430262218141
3.5606060606060606,0.889024616623393,1.0040371153725074,0.5664183305775459,0.14359963269054177
3.5858585858585856,0.8842589930076352,1.001957389156494,0.5752233981849755,0.143773084379145
3.611111111111111,0.8792439033119299,0.9998287282059862,0.5834295774037477,0.1439506172839506
3.6363636363636362,0.8739852758641921,0.9976511325209839,0.5910318846103095,0.14413223140495865
3.6616161616161618,0.8684890389923354,0.9954246021014871,0.5980253361811076,0.14431792674216917
3.686868686868687,0.8627611210242738,0.9931491369474961,0.6044049484925882,0.14450770329558207
3.712121212121212,0.8568074502879225,0.9908247370590103,0.6101657379211991,0.1447015610651974
3.7373737373737375,0.8506339551111943,0.9884514024360302,0.6153027208433866,0.1448995000510152
3.7626262626262625,0.8442465638220045,0.9860413667621797,0.6198109136355971,0.14510049994898477
3.7878787878787876,0.8376512047482667,0.9836680321391996,0.6236853326742784,0.14529843893480257
3.813131313131313,0.8308538062178953,0.9813436322507139,0.6269209943358769,0.14549229670441793
3.8383838383838382,0.8238602965588049,0.9790681670967228,0.6295129149968393,0.1456820732578308
3.8636363636363638,0.8166766040989086,0.9768416366772261,0.6314561110336134,0.14586776859504133
3.888888888888889,0.8093086571661215,0.9746640409922237,0.6327455988226447,0.1460493827160494
3.914141414141414,0.8017623840883575,0.972535380041716,0.633376394740381,0.14622691562085502
3.9393939393939394,0.7940437131935307,0.9704556538257025,0.6333435151632689,0.14640036730945824
3.9646464646464645,0.7861585728095557,0.9684248623441835,0.6326419764677547,0.146569737781859
3.9898989898989896,0.7781128912643465,0.966443005597159,0.6312667950302866,0.14673502703805733
4.015151515151515,0.769912596885817,0.9645100835846289,0.62921298722731,0.14689623507805327
4.040404040404041,0.7615636180018813,0.9626260963065931,0.6264755694352733,0.14705336190184679
4.065656565656566,0.7530718829404539,0.9607910437630519,0.6230495580306217,0.1472064075094378
4.090909090909091,0.7444433200294494,0.9590049259540051,0.6189299693898032,0.14735537190082645
4.116161616161616,0.7356838575967812,0.9572677428794527,0.6141118198892648,0.14750025507601264
4.141414141414141,0.7267994239703637,0.9555794945393947,0.6085901259054518,0.14764105703499644
4.166666666666667,0.7177959474781117,0.9539401809338313,0.6023599038148126,0.14777777777777776
4.191919191919192,0.7086793564479383,0.9523498020627621,0.5954161699937939,0.14791041730435672
4.217171717171717,0.6994555792077588,0.9508083579261875,0.5877539408188421,0.1480389756147332
4.242424242424242,0.6901305440854868,0.9493158485241073,0.5793682326664045,0.14816345270890724
4.267676767676767,0.6807101794090362,0.9478722738565214,0.5702540619129275,0.1482838485868789
4.292929292929293,0.6712004135063216,0.9464776339234302,0.5604064449348578,0.1484001632486481
4.318181818181818,0.6616071747052578,0.9451319287248332,0.5498203981086434,0.14851239669421487
4.343434343434343,0.6519363913337579,0.9438351582607307,0.5384909378107303,0.14862054892357926
4.3686868686868685,0.6421939917197363,0.9425873225311228,0.5264130804175648,0.14872461993674116
4.393939393939394,0.6323859041911079,0.9413884215360091,0.5135818423055953,0.14882460973370065
4.419191919191919,0.622518057075786,0.94023845527539,0.49999223985126706,0.1489205183144577
4.444444444444445,0.6125963787016853,0.9391374237492651,0.4856392894310275,0.14901234567901234
4.46969696969697,0.6026267973967198,0.9380853269576348,0.4705180074213242,0.14910009182736456
4.494949494949495,0.5926152414888043,0.9370821649004988,0.4546234101986033,0.14918375675951434
4.52020202020202,0.5825676393058519,0.9361279375778574,0.43795051413931185,0.1492633404754617
4.545454545454545,0.5724899191757773,0.9352226449897104,0.4204943356198969,0.1493388429752066
4.570707070707071,0.5623880094264949,0.9343662871360578,0.4022498910168055,0.14941026425874912
4.595959595959596,0.5522678383859188,0.9335588640168997,0.3832121967064832,0.14947760432608917
4.621212121212121,0.542135334381963,0.9328003756322361,0.36337626906537857,0.1495408631772268
4.646464646464646,0.5319964257425418,0.9320908219820667,0.3427371244699371,0.14960004081216202
4.671717171717171,0.5218570407955695,0.9314302030663919,0.32128977929660696,0.1496551372308948
4.696969696969697,0.5117231078689598,0.9308185188852114,0.29902924992183255,0.14970615243342517
4.722222222222222,0.5016005552906275,0.9302557694385254,0.27595055272206404,0.14975308641975307
4.747474747474747,0.4914953113884868,0.9297419547263339,0.2520487040737469,0.1497959391898786
4.7727272727272725,0.4814133044904516,0.9292770747486367,0.22731872035332779,0.14983471074380164
4.797979797979798,0.4713604629244361,0.9288611295054341,0.20175561793725327,0.1498694010815223
4.8232323232323235,0.4613427150183542,0.928494118996726,0.17535441320196998,0.14990001020304053
4.848484848484849,0.4513659891001206,0.928176043222512,0.14811012252392675,0.1499265381083563
4.873737373737374,0.4414362134976495,0.9279069021827926,0.12001776227956817,0.14994898479746965
4.898989898989899,0.4315593165388548,0.9276866958775677,0.09107234884534221,0.14996735027038058
4.924242424242424,0.4217412265516507,0.9275154243068371,0.06126889859769591,0.14998163452708907
4.94949494949495,0.411987871863951,0.9273930874706011,0.03060242791307277,0.14999183756759515
4.974747474747475,0.40230518080367106,0.9273196853688594,-0.0009320468320750397,0.1499979593918988
5.0,0.39269908169872414,0.9272952180016122,-0.033339509261302025,0.15
5.025252525252525,0.3831742646191497,0.9272952180016122,-0.06661949598126737,0.15
5.05050505050505,0.37373046660348724,0.9272952180016122,-0.10074975553104593,0.15
5.075757575757575,0.3643661864324011,0.9272952180016122,-0.13570258943281677,0.15
5.101010101010101,0.3550799228865556,0.9272952180016122,-0.17145029920876187,0.15
5.126262626262626,0.34587017474661574,0.9272952180016122,-0.20796518638105765,0.15
5.151515151515151,0.3367354407932457,0.9272952180016122,-0.24521955247188565,0.15
5.1767676767676765,0.32767421980711003,0.9272952180016122,-0.2831856990034247,0.15
5.2020202020202015,0.31868501056887316,0.9272952180016122,-0.3218359274978555,0.15
5.2272727272727275,0.30976631185919934,0.9272952180016122,-0.36114253947735864,0.15
5.252525252525253,0.3009166224587536,0.9272952180016122,-0.40107783646411144,0.15
5.277777777777778,0.29213444114820014,0.9272952180016122,-0.44161411998029454,0.15
5.303030303030303,0.28341826670820336,0.9272952180016122,-0.4827236915480879,0.15
5.328282828282828,0.274766597919428,0.9272952180016122,-0.5243788526896711,0.15
5.353535353535354,0.2661779335625378,0.9272952180016122,-0.5665519049272258,0.15
5.378787878787879,0.25765077241819834,0.9272952180016122,-0.6092151497829282,0.15
5.404040404040404,0.2491836132670735,0.9272952180016122,-0.65234088877896,0.15
5.429292929292929,0.2407749548898278,0.9272952180016122,-0.6959014234375006,0.15
5.454545454545454,0.23242329606712583,0.9272952180016122,-0.7398690552807298,0.15
5.47979797979798,0.22412713557963168,0.9272952180016122,-0.7842160858308289,0.15
5.505050505050505,0.21588497220801048,0.9272952180016122,-0.8289148166099745,0.15
5.53030303030303,0.2076953047329264,0.9272952180016122,-0.8739375491403478,0.15
5.555555555555555,0.19955663193504392,0.9272952180016122,-0.9192565849441287,0.15
5.58080808080808,0.1914674525950275,0.9272952180016122,-0.9648442255434967,0.15
5.6060606060606055,0.18342626549354168,0.9272952180016122,-1.010672772460632,0.15
5.6313131313131315,0.17543156941125065,0.9272952180016122,-1.0567145272177152,0.15
5.656565656565657,0.16748186312881944,0.9272952180016122,-1.1029417913369233,0.15
5.681818181818182,0.15957564542691224,0.9272952180016122,-1.1493268663404375,0.15
5.707070707070707,0.15171141508619354,0.9272952180016122,-1.1958420537504377,0.15
5.732323232323232,0.14388767088732785,0.9272952180016122,-1.2424596550891034,0.15
5.757575757575758,0.13610291161097932,0.9272952180016122,-1.289151971878616,0.15
5.782828282828283,0.12835563603781308,0.9272952180016122,-1.335891305641152,0.15
5.808080808080808,0.1206443429484933,0.9272952180016122,-1.382649957898893,0.15
5.833333333333333,0.11296753112368442,0.9272952180016122,-1.4294002301740183,0.15
5.858585858585858,0.105323699344051,0.9272952180016122,-1.4761144239887078,0.15
5.883838383838384,0.09771134639025719,0.9272952180016122,-1.5227648408651429,0.15
5.909090909090909,0.09012897104296803,0.9272952180016122,-1.5693237823254997,0.15
5.934343434343434,0.08257507208284774,0.9272952180016122,-1.6157635498919605,0.15
5.959595959595959,0.07504814829056076,0.9272952180016122,-1.662056445086704,0.15
5.984848484848484,0.06754669844677169,0.9272952180016122,-1.7081747694319105,0.15
6.01010101010101,0.060069221332144665,0.9272952180016122,-1.7540908244497608,0.15
6.0353535353535355,0.05261421572734472,0.9272952180016122,-1.7997769116624323,0.15
6.0606060606060606,0.04518018041303606,0.9272952180016122,-1.8452053325921054,0.15
6.085858585858586,0.03776561416988318,0.9272952180016122,-1.8903483887609607,0.15
6.111111111111111,0.030369015778550567,0.9272952180016122,-1.935178381691177,0.15
6.136363636363637,0.022988884019702453,0.9272952180016122,-1.9796676129049362,0.15
6.161616161616162,0.015623717674003758,0.9272952180016122,-2.0237883839244146,0.15
6.186868686868687,0.008272015522118838,0.9272952180016122,-2.067512996271794,0.15
6.212121212121212,0.0009322763447121192,0.9272952180016122,-2.1108137514692533,0.15
6.237373737373737,-0.006397001077551916,0.9272952180016122,-2.1536629510389735,0.15
6.262626262626262,-0.013717317964008768,0.9272952180016122,-2.1960328965031324,0.15
6.287878787878788,-0.021030175533994236,0.9272952180016122,-2.237895889383913,0.15
6.313131313131313,-0.028337075006843293,0.9272952180016122,-2.279224231203491,0.15
6.338383838383838,-0.03563951760189178,0.9272952180016122,-2.319990223484049,0.15
6.363636363636363,-0.04293900453847507,0.9272952180016122,-2.3601661677477646,0.15
6.388888888888888,-0.050237037035928876,0.9272952180016122,-2.399724365516819,0.15
6.414141414141414,-0.057535116313588736,0.9272952180016122,-2.438637118313393,0.15
6.4393939393939394,-0.06483474359078986,0.9272952180016122,-2.4768767276596635,0.15
6.4646464646464645,-0.072137420086868,0.9272952180016122,-2.5144154950778113,0.15
6.48989898989899,-0.07944464702115847,0.9272952180016122,-2.5512257220900167,0.15
6.515151515151515,-0.08675792561299703,0.9272952180016122,-2.5872797102184593,0.15
6.540404040404041,-0.09407875708171924,0.9272952180016122,-2.6225497609853194,0.15
6.565656565656566,-0.10140864264666033,0.9272952180016122,-2.6570081759127753,0.15
6.590909090909091,-0.1087490835271558,0.9272952180016122,-2.690627256523007,0.15
6.616161616161616,-0.11610158094254146,0.9272952180016122,-2.723379304338194,0.15
6.641414141414141,-0.12346763611215256,0.9272952180016122,-2.755236620880518,0.15
6.666666666666667,-0.1308487502553251,0.9272952180016122,-2.786171507672159,0.15
6.691919191919192,-0.13824642459139402,0.9272952180016122,-2.816156266235293,0.15
6.717171717171717,-0.1456621603396949,0.9272952180016122,-2.845163198092102,0.15
6.742424242424242,-0.15309745871956354,0.9272952180016122,-2.8731646047647654,0.15
6.767676767676767,-0.16055382095033516,0.9272952180016122,-2.900132787775463,0.15
6.792929292929292,-0.1680327482513456,0.9272952180016122,-2.926040048646375,0.15
6.818181818181818,-0.17553574184193033,0.9272952180016122,-2.9508586888996815,0.15
6.843434343434343,-0.18306430294142462,0.9272952180016122,-2.9745610100575606,0.15
6.8686868686868685,-0.19061993276916395,0.9272952180016122,-2.9971193136421928,0.15
6.893939393939394,-0.19820413254448416,0.9272952180016122,-3.0185059011757582,0.15
6.919191919191919,-0.20581840348672056,0.9272952180016122,-3.038693074180436,0.15
6.944444444444445,-0.2134642468152089,0.9272952180016122,-3.0576531341784077,0.15
6.96969696969697,-0.2211431637492843,0.9272952180016122,-3.075358382691849,0.15
6.994949494949495,-0.22885665550828244,0.9272952180016122,-3.0917811212429442,0.15
7.02020202020202,-0.2366062233115389,0.9272952180016122,-3.10689365135387,0.15
